gr_id,work_item_id,role,ac_count,spec_word_count,dep_count,dep_total_pyi_lines,first_attempt_passed,retry_count,gate_label_on_first_fail,locked
GR-015,07c6e017-bdaf-444b-8d55-ecd177295815,implementer,5,121,1,41,True,0,,True
GR-015,0a290e24-d575-49e4-94b8-324acfae57d6,test_author,6,201,2,48,True,0,,True
GR-015,0c4c945e-9f4b-49e2-b4cb-f25b0834a6c5,implementer,8,232,3,107,True,0,,True
GR-015,108b60a3-e741-41be-b83d-573252d1d451,interface_architect,4,216,1,55,True,0,,True
GR-015,15169ba7-d765-4d43-b4be-f1e8067e1582,implementer,9,293,0,0,True,0,,True
GR-015,15340e75-8390-414c-a2b2-60851ee2bbd8,implementer,4,216,1,55,True,0,,True
GR-015,1ee609f6-126d-43d7-ad0a-e17aed4b105a,interface_architect,6,265,1,55,True,0,,True
GR-015,2537ac74-1f51-4661-a808-bef0b31d3f86,implementer,6,248,2,96,True,0,,True
GR-015,25d872ec-6e69-4eca-8432-843b8a23db7a,test_author,9,293,0,0,True,0,,True
GR-015,331f2aaa-1419-4061-85b0-c259ed3e6f6d,implementer,6,165,3,107,True,0,,True
GR-015,54957c7d-de2a-426b-9048-cdc0cf4fd010,interface_architect,6,248,2,96,True,0,,True
GR-015,57dc4001-75aa-49cd-9f7a-d05ffc8a0d83,test_author,6,165,3,107,True,0,,True
GR-015,6086855b-082d-437d-938b-09adf0cfd5ba,interface_architect,8,232,3,107,True,0,,True
GR-015,64612a76-031e-4f5f-bee7-f9a703f90ab9,interface_architect,6,165,3,107,True,0,,True
GR-015,70033f4e-d000-4a96-bf34-6fdde5c8a0c3,implementer,6,265,1,55,True,0,,True
GR-015,7a0cbb0c-f1b9-4603-b2f0-5874ab4e1a7f,test_author,6,248,2,96,True,0,,True
GR-015,7c612f82-c7a9-4712-87b1-e5322a3a21c6,interface_architect,5,121,1,41,True,0,,True
GR-015,7ffaaf02-6715-4171-8f85-f3227d046b3f,test_author,8,232,3,107,True,0,,True
GR-015,b36fa963-948f-4523-9298-5c4fd916be3d,interface_architect,6,201,2,48,True,0,,True
GR-015,cc791185-2bcb-4e65-afd9-cf09fb36ffc8,test_author,4,216,1,55,True,0,,True
GR-015,d3f2996c-5b1d-4a40-a8c6-9eb4b5029a4e,test_author,6,265,1,55,True,0,,True
GR-015,db92c2ae-cd5f-48f0-8cf5-2ab958953933,interface_architect,9,293,0,0,True,0,,True
GR-015,ddb20a58-37a8-4845-a645-40adc958df65,implementer,6,201,2,48,True,0,,True
GR-015,ff226ca4-a7aa-4998-8f80-426ec81b9fa8,test_author,5,121,1,41,True,0,,True
GR-017,07e01552-ebb7-409f-a81a-a46bc4b563d0,interface_architect,6,165,3,95,True,0,,True
GR-017,26edaeed-0e99-4c8a-9e7d-04deb655de15,unknown,5,121,1,41,True,0,,False
GR-017,3f2ad146-f197-47a2-b2fb-a9e73a271bac,test_author,4,216,1,45,True,0,,True
GR-017,517447be-8503-40fc-8a8e-d52bd0bc7fda,unknown,9,293,0,0,True,0,,False
GR-017,6a5d88a7-55a3-4310-8e0c-96d4a1d7e4dc,unknown,6,165,3,95,True,0,,False
GR-017,6c4e279c-6b9c-42e3-b607-eaf3ab84575a,unknown,6,265,1,45,True,0,,False
GR-017,71f2861f-56f0-4c38-95e5-642770883b0a,interface_architect,5,121,1,41,True,0,,True
GR-017,72e96e79-957c-404d-93d5-09b0a923c429,interface_architect,6,248,2,86,True,0,,True
GR-017,8ac90d0d-6039-41c3-95f4-3eb46357c17e,interface_architect,6,265,1,45,True,0,,True
GR-017,b0ef4fda-5b0a-467d-b685-4df06b9280d2,interface_architect,6,201,1,12,True,0,,True
GR-017,beac46a6-555e-497c-90b2-8b8d78f778df,unknown,6,248,2,86,True,0,,False
GR-017,bf9029fc-8cc6-40ff-848c-d77a3cb89126,interface_architect,4,216,1,45,True,0,,True
GR-017,d080e1cf-e4f4-4f42-978c-2a1cb67c86bf,unknown,4,216,1,45,True,0,,False
GR-017,d9def9a7-6157-4da2-a6b7-5431e973d91c,interface_architect,9,293,0,0,True,0,,True
GR-017,f1f4ce36-8b09-4bc5-ad27-7ef69acbf16f,test_author,5,121,1,41,True,0,,True
